sample-id	Group	absolute-filepath	reverse-absolute-filepath
OK1	McCurtain_County	/project/stuckert/jdkoussa/tfinal/data/SRR26290940_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26290940_2.fastq.gz
OK2	McCurtain_County	/project/stuckert/jdkoussa/tfinal/data/SRR26290941_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26290941_2.fastq.gz 
OK3	McCurtain_County	/project/stuckert/jdkoussa/tfinal/data/SRR26290942_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26290942_2.fastq.gz
OK4	McCurtain_County	/project/stuckert/jdkoussa/tfinal/data/SRR26290943_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26290943_2.fastq.gz
OK5	Cleveland_County	/project/stuckert/jdkoussa/tfinal/data/SRR26290950_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26290950_2.fastq.gz
OK6	Cleveland_County	/project/stuckert/jdkoussa/tfinal/data/SRR26290951_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26290951_2.fastq.gz
OK7	Cleveland_County	/project/stuckert/jdkoussa/tfinal/data/SRR26290952_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26290952_2.fastq.gz
OK8	Cleveland_County	/project/stuckert/jdkoussa/tfinal/data/SRR26290953_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26290953_2.fastq.gz
OK9	Cleveland_County	/project/stuckert/jdkoussa/tfinal/data/SRR26290954_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26290954_2.fastq.gz
OK10	Cleveland_County	/project/stuckert/jdkoussa/tfinal/data/SRR26290955_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26290955_2.fastq.gz
OK11	Cleveland_County	/project/stuckert/jdkoussa/tfinal/data/SRR26290956_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26290956_2.fastq.gz 
OK12	Cleveland_County	/project/stuckert/jdkoussa/tfinal/data/SRR26290957_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26290957_2.fastq.gz
OK13	Cleveland_County	/project/stuckert/jdkoussa/tfinal/data/SRR26290958_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26290958_2.fastq.gz
OK14	Cleveland_County	/project/stuckert/jdkoussa/tfinal/data/SRR26290959_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26290959_2.fastq.gz
OK15	Cleveland_County	/project/stuckert/jdkoussa/tfinal/data/SRR26290994_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26290994_2.fastq.gz
OK16	McCurtain_County	/project/stuckert/jdkoussa/tfinal/data/SRR26291010_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26291010_2.fastq.gz
OK17	McCurtain_County	/project/stuckert/jdkoussa/tfinal/data/SRR26291011_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26291011_2.fastq.gz
OK18	McCurtain_County	/project/stuckert/jdkoussa/tfinal/data/SRR26291012_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26291012_2.fastq.gz
OK19	Cleveland_County	/project/stuckert/jdkoussa/tfinal/data/SRR26291013_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26291013_2.fastq.gz
OK20	Cleveland_County	/project/stuckert/jdkoussa/tfinal/data/SRR26291014_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26291014_2.fastq.gz
OK21	Cleveland_County	/project/stuckert/jdkoussa/tfinal/data/SRR26291135_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26291135_2.fastq.gz
OK22	McCurtain_County	/project/stuckert/jdkoussa/tfinal/data/SRR26291138_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26291138_2.fastq.gz
OK23	McCurtain_County	/project/stuckert/jdkoussa/tfinal/data/SRR26291139_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26291139_2.fastq.gz
OK24	McCurtain_County	/project/stuckert/jdkoussa/tfinal/data/SRR26291162_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26291162_2.fastq.gz
OK25	McCurtain_County	/project/stuckert/jdkoussa/tfinal/data/SRR26291164_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR26291164_2.fastq.gz
TN1	Shelby_County	/project/stuckert/jdkoussa/tfinal/data/SRR12241529_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR12241529_2.fastq.gz
TN2	Shelby_County	/project/stuckert/jdkoussa/tfinal/data/SRR12241535_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR12241535_2.fastq.gz
TN3	Shelby_County	/project/stuckert/jdkoussa/tfinal/data/SRR12241542_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR12241542_2.fastq.gz
TN4	Shelby_County	/project/stuckert/jdkoussa/tfinal/data/SRR12241549_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR12241549_2.fastq.gz
TN5	Shelby_County	/project/stuckert/jdkoussa/tfinal/data/SRR12241555_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR12241555_2.fastq.gz
TN6	Shelby_County	/project/stuckert/jdkoussa/tfinal/data/SRR12241562_1.fastq.gz	/project/stuckert/jdkoussa/tfinal/data/SRR12241562_2.fastq.gz
PA1	Berks_County	/project/stuckert/jdkoussa/tfinal/data/SRR31107095_1.fastq.gz	
PA2	Berks_County	/project/stuckert/jdkoussa/tfinal/data/SRR31107096_1.fastq.gz	
PA3	Berks_County	/project/stuckert/jdkoussa/tfinal/data/SRR31107097_1.fastq.gz
